100, 0.00894, 0.005
200, 0.00537, 0.005
300, 0.00623, 0.005
400, 0.00498, 0.005
500, 0.00537, 0.005
600, 0.00471, 0.005
700, 0.00452, 0.005
800, 0.00500, 0.005
900, 0.00562, 0.005
1000, 0.00502, 0.005
1100, 0.00485, 0.005
1200, 0.00486, 0.005
1300, 0.00531, 0.005
1400, 0.00428, 0.005
1500, 0.00420, 0.005
1600, 0.00418, 0.005
1700, 0.00478, 0.005
1800, 0.00450, 0.005
1900, 0.00382, 0.005
2000, 0.00412, 0.005
2100, 0.00353, 0.005
2200, 0.00384, 0.005
2300, 0.00412, 0.005
2400, 0.00371, 0.005
2500, 0.00341, 0.005
2600, 0.00378, 0.005
2700, 0.00332, 0.005
2800, 0.00432, 0.005
2900, 0.00379, 0.005
3000, 0.00335, 0.005
3100, 0.00360, 0.005
3200, 0.00330, 0.005
3300, 0.00348, 0.005
3400, 0.00346, 0.005
3500, 0.00317, 0.005
3600, 0.00368, 0.005
3700, 0.00311, 0.005
3800, 0.00362, 0.005
3900, 0.00345, 0.005
4000, 0.00323, 0.005
4100, 0.00339, 0.005
4200, 0.00277, 0.005
4300, 0.00291, 0.005
4400, 0.00311, 0.005
4500, 0.00320, 0.005
4600, 0.00284, 0.005
4700, 0.00328, 0.005
4800, 0.00289, 0.005
4900, 0.00314, 0.005
5000, 0.00367, 0.005
5100, 0.00324, 0.005
5200, 0.00290, 0.005
5300, 0.00315, 0.005
5400, 0.00296, 0.005
5500, 0.00271, 0.005
5600, 0.00311, 0.005
5700, 0.00303, 0.005
5800, 0.00276, 0.005
5900, 0.00294, 0.005
6000, 0.00264, 0.005
6100, 0.00273, 0.005
6200, 0.00298, 0.005
6300, 0.00279, 0.005
6400, 0.00306, 0.005
6500, 0.00303, 0.005
6600, 0.00289, 0.005
6700, 0.00261, 0.005
6800, 0.00256, 0.005
6900, 0.00245, 0.005
7000, 0.00293, 0.005
7100, 0.00249, 0.005
7200, 0.00311, 0.005
7300, 0.00281, 0.005
7400, 0.00288, 0.005
7500, 0.00283, 0.005
7600, 0.00251, 0.005
7700, 0.00274, 0.005
7800, 0.00290, 0.005
7900, 0.00245, 0.005
8000, 0.00297, 0.005
8100, 0.00282, 0.005
8200, 0.00287, 0.005
8300, 0.00256, 0.005
8400, 0.00268, 0.005
8500, 0.00274, 0.005
8600, 0.00254, 0.005
8700, 0.00258, 0.005
8800, 0.00228, 0.005
8900, 0.00232, 0.005
9000, 0.00274, 0.005
9100, 0.00239, 0.005
9200, 0.00230, 0.005
9300, 0.00248, 0.005
9400, 0.00242, 0.005
9500, 0.00270, 0.005
9600, 0.00239, 0.005
9700, 0.00230, 0.005
9800, 0.00256, 0.005
9900, 0.00244, 0.005
10000, 0.00243, 0.005
10100, 0.00258, 0.02
10200, 0.00323, 0.02
10300, 0.00272, 0.02
10400, 0.00264, 0.02
10500, 0.00278, 0.02
10600, 0.00258, 0.02
10700, 0.00317, 0.02
10800, 0.00272, 0.02
10900, 0.00254, 0.02
11000, 0.00280, 0.02
11100, 0.00266, 0.02
11200, 0.00316, 0.02
11300, 0.00272, 0.02
11400, 0.00275, 0.02
11500, 0.00297, 0.02
11600, 0.00240, 0.02
11700, 0.00239, 0.02
11800, 0.00246, 0.02
11900, 0.00228, 0.02
12000, 0.00280, 0.02
12100, 0.00248, 0.02
12200, 0.00259, 0.02
12300, 0.00283, 0.02
12400, 0.00231, 0.02
12500, 0.00220, 0.02
12600, 0.00234, 0.02
12700, 0.00244, 0.02
12800, 0.00220, 0.02
12900, 0.00229, 0.02
13000, 0.00219, 0.02
13100, 0.00222, 0.02
13200, 0.00210, 0.02
13300, 0.00238, 0.02
13400, 0.00242, 0.02
13500, 0.00230, 0.02
13600, 0.00237, 0.02
13700, 0.00227, 0.02
13800, 0.00222, 0.02
13900, 0.00235, 0.02
14000, 0.00191, 0.02
14100, 0.00212, 0.02
14200, 0.00220, 0.02
14300, 0.00212, 0.02
14400, 0.00221, 0.02
14500, 0.00192, 0.02
14600, 0.00200, 0.02
14700, 0.00235, 0.02
14800, 0.00201, 0.02
14900, 0.00247, 0.02
